index,address_location_name,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
0,"County of Hawaii Aupuni Center
Conference Room
101 Pauahi Street, Suite 1 Hilo, Hawaii 96720",08:00 AM-04:00 PM,,,False,True,,,,coun0000
1,"West Hawaii Civic Center
Community Room (Building G) 74-5044 Ane Keohokalole Highway Kailua Kona, Hawaii 96740",08:00 AM-04:00 PM,,,False,True,,,,coun0001
2,"Waimea Community Center
65-1260 Kawaihae Road Kamuela, Hawaii 96743",08:00 AM-04:00 PM,,,False,True,,,,coun0002
3,"Waimea Community Center
65-1260 Kawaihae Road Kamuela, Hawaii 96743",08:00 AM-12:00 PM,,,False,True,,,,coun0003
4,"Pahala Community Center 96-1149 Kamani Street Pahala, Hawaii 96777",09:00 AM-12:00 PM,,,False,True,,,,coun0004
5,"Pahala Community Center 96-1149 Kamani Street Pahala, Hawaii 96777",01:00 PM-03:00 PM,,,False,True,,,,coun0005
6,"Lihue Neighborhood Center
3353 Eono Street Lihue, Hawaii 96766",08:00 AM-04:00 PM,,,False,True,,,,coun0006
7,"Office of the County Clerk
200 South High Street, Room #708 Wailuku, Hawaii 96793",08:00 AM-04:00 PM,,,False,True,,,,coun0007
8,"Mitchell Pauole Center
Conference Room
90 Ainoa Street Kaunakakai, Hawaii 96748",08:00 AM-12:00 PM,,,False,True,,,,coun0008
9,"Mitchell Pauole Center
Conference Room
90 Ainoa Street Kaunakakai, Hawaii 96748",01:00 PM-04:00 PM,,,False,True,,,,coun0009
10,"Mitchell Pauole Center
Conference Room
90 Ainoa Street Kaunakakai, Hawaii 96748",08:00 AM-12:00 PM,,,False,True,,,,coun0010
11,"Honolulu Hale, 530 South King Street Honolulu, Hawaii 96813",08:00 AM-04:00 PM,,,False,True,,,,city0011
12,"Kapolei Hale
1000 Uluohia Street Kapolei, Hawaii 96707",08:00 AM-04:00 PM,,,False,True,,,,city0012
